Kr. No.,Commodity,2017-18,Price,2018-19,Price2,2019-20,Price3,2020-21,Price32,2021-22,price4,2022-23 as of December 2022,Price5
,,Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,
1,Marine Products,1432," ? 47,646.0 ",1672," ? 47,665.0 ",1329," ? 47,618.00 ",1168," ? 44,176.0 ",1398,"? 57,910.00",1286," ? 50,157.0 "
2,Rice (except Basmati),8819," ? 23,437.0 ",7648," ? 21,171.0 ",5056," ? 14,400.00 ",13149," ? 35,557.0 ",17289,"? 45,725.00",13172," ? 37,158.0 "
3,Chinese,1758," ? 5,226.0 ",3990," ? 9,523.0 ",5799," ? 13,982.00 ",7518," ? 20,669.0 ",10457,"? 34,345.00",8257," ? 31,693.0 "
4,Spices,1096," ? 20,085.0 ",1134," ? 23,218.0 ",1193," ? 25,642.00 ",1607," ? 29,529.0 ",1428,"? 29,039.00",925," ? 21,923.0 "
5,Rice-basmati,4057," ? 26,871.0 ",4415," ? 32,804.0 ",4455," ? 31,026.00 ",4630," ? 29,848.0 ",3944,"? 26,390.00",3197," ? 26,590.0 "
6,Buffalo meat,1350," ? 26,035.0 ",1233," ? 25,091.0 ",1152," ? 22,661.00 ",1086," ? 23,460.0 ",1175,"? 24,631.00",870," ? 18,994.0 "
7,Raw cotton including waste,1101," ? 12,200.0 ",1143," ? 14,628.0 ",658," ? 7,540.00 ",1214," ? 13,968.0 ",1259,"? 21,007.00",196," ? 4,001.0 "
8,Wheat,323, ? 624.0 ,227, ? 424.0 ,220, ? 444.00 ,2155," ? 4,173.0 ",7245,"? 15,845.00",4656," ? 11,728.0 "
9,Castor oil,697," ? 6,730.0 ",619," ? 6,170.0 ",594," ? 6,324.00 ",734," ? 6,802.0 ",715,"? 8,754.00",469," ? 7,169.0 "
10,Miscellaneous processed items,0," ? 3,549.0 ",0," ? 4,613.0 ",0," ? 4,587.00 ",0," ? 6,403.0 ",0,"? 8,715.00",," ? 8,122.0 "
Total agricultural and allied exports,,20633,"? 172,403.0",22081," ? 185,307.0 ",20456," ? 174,224.00 ",33261,"? 214,585.00",44910,"? 272,361.0",33028," ? 217,535.0 "
